Riedseltz#Alsace#Rue de la Gare, 67160 Riedseltz, France#48.9914582#7.9626989
Rixheim#Alsace#Ruelle de la Gare, 68170 Rixheim, France#47.750505#7.4027668
Roeschwoog#Alsace#Rue de la Gare, 67480 Rœschwoog, France#48.8303955#8.0323026
Roppenheim#Alsace#Rue de la Gare, 67480 Rœschwoog, France#48.8303955#8.0323026
Rosheim#Alsace#Avenue de la Gare, 67560 Rosheim, France#48.5012787#7.4844926
Rothau#Alsace#Rue de la Gare, 67570 Rothau, France#48.458633#7.2073383
Rouffach#Alsace#Avenue de la Gare, 68250 Rouffach, France#47.9591478#7.3064885
Rountzenheim#Alsace#Rue de la Gare, 67480 Rœschwoog, France#48.8303955#8.0323026
Russ-Hersbach#Alsace#Rue de la Gare, 67130 Russ, France#48.4963608#7.2551921
Saales#Alsace#Rue de la Gare, 67420 Saales, France#48.3473433#7.1084936
Sarre-Union#Alsace#Rue de la Gare, 67260 Sarre-Union, France#48.9359917#7.0855629
Saulxures (Bas-Rhin)#Alsace#Rue de la Gare, 67420 Saales, France#48.3473433#7.1084936
Saverne#Alsace#Rue de la Gare, 67700 Saverne, France#48.7435938#7.3608403
Scherwiller#Alsace#Rue de la Gare, 67750 Scherwiller, France#48.2877363#7.4257616
Schirmeck-La Broque#Alsace#Place de la Gare, 67130 Schirmeck, France#48.4801501#7.2165335
Schopperten#Alsace#Rue de la Gare, 67260 Sarre-Union, France#48.9359917#7.0855629
Schweighouse-sur-Moder#Alsace#Rue de la Gare, 67590 Schweighouse-sur-Moder, France#48.8262547#7.7413963
Schwindratzheim#Alsace#Rue de la Gare, 67270 Alteckendorf, France#48.7897667#7.6039879
Sélestat#Alsace#Place de la Gare, 67600 Sélestat, France#48.2602188#7.4435364
Seltz#Alsace#Rue de la Gare, 67470 Seltz, France#48.8953699#8.1024577
Sessenheim#Alsace#Rue de la Gare, 67770 Sessenheim, France#48.7965051#7.988931
Sierentz#Alsace#Rue de la Gare, 68870 Bartenheim, France#47.6340428#7.4835008
Soultz-sous-Forêts#Alsace#Rue de la Gare, 67250 Soultz-sous-Forêts, France#48.9351001#7.8788287
Staffelfelden#Alsace#Rue de la Gare, 68850 Staffelfelden, France#47.8277456#7.2639715
St-Amarin#Alsace#Rue de la Gare, 68550 Saint-Amarin, France#47.8725837#7.0301996
St-Blaise-la-Roche-Poutay#Alsace#Poutay, Plaine, France#48.4101938#7.1612373
